Timestamp,Survey,Job Title,Gender,City,Sector,Gross Salary,Currency,Day Rate,Years of XP,Benefits,Additional Comments
Feb 2019,UK,Unity Programmer,Male,London,Mobile,"£28,000",GBP,,3,Pension,
Feb 2019,UK,Audio Designer,,Scotland,AAA,"£25,000",GBP,,3,,
February 2019,UK,Game Designer,Male,Bristol,Small Studio,"£27,000",GBP,,2,Cycle Scheme,Was a hobbyist designer for years while also having 5+ years of Game Development experience and a Unity certification.
2018,UK,Animator,Male,Leeds,Games,"£21,000",GBP,,2,,
February 2019,UK,QA,Male,Manchester,Motion Capture,"£25,000",GBP,,4,,
July 2017,UK,Lead Artist,Male,London,Mobile Development,"£53, 000",GBP,,10,None.,
"January, 2018",UK,Senior Ui Artist,Male,Cambridge,AAA,"£45,000",GBP,,8,17000,
February 2019,UK,Gameplay Programmer,Non-binary,Edinburgh,AAA,"£24,000",GBP,,2,None,No roadmap for gaining salary increase or promotion
February 2019,UK,UI Dev,Male,West Midlands,AA,"£90,000",GBP,400.00,3,,"Contractor, so no real benefits"
February 2019,UK,Senior Technical Artist,Male,Leamington Spa,Mostly Mobile and Indie,"£40,000",GBP,,7,Contractor no official benefit scheme,
February 2019,UK,Unity Developer,Male,London,,"£45,000",GBP,,5,"Double matched Pension, Health, Dental, Cycle to Work, Profit based bonus",
June 2018,UK,Senior Character Artist,Male,North West,AAA,"£33,500",GBP,,7,"Health Care, Pension, Flexi Time",
February 2019,UK,Junior programmer,Male,Leamington spa,,"£20,000",GBP,,7 months,,
February 2018,UK,Associate Producer,Male,Cambridge,III,"£27,000",GBP,,5,"Pension, private medical, private dental",
March 2019,UK,Associate Producer,Male,Cambridge,III,"£32,000",GBP,,6,"Private medical, private dental, pension",Expected new rate
February 2019,UK,Assistant Producer,,London,AAA,"£25,000",GBP,,6,5000,
February 2019,UK,Artist,Male,Scotland,Indie/Mobile,"£21,000",GBP,,4,,
2018,UK,Senior Programmer,Male,London,AAA,"£78,000",GBP,300.00,13,,
2017,UK,Prohect Director,Male,West Midlands,AA,"£65,000",GBP,,25,Usual stuff. ,
August 2013-august 2015,UK,2d artist,Female,Isle of wight,Aa,"£25,000",GBP,,3-5,No,
Feb 2019,UK,Freelance HTML5 Games Developer,Male,Brighton,Casual Games,"£70,000",GBP,£400,7,,"Remote £300, on site in Brighton £350, London: £400"
February 2019,UK,Project Manager,Female,London,Small studio/indie,"£20,800",GBP,,3 years,Pension,
February 2019,UK,Developer,Male,London,Mobile,"£35,000",GBP,,5,Flexible working,Really nice place to work!
April 2018,UK,Senior Programmer,Male,South England  ,AAA,"£38,000",GBP,,5,"Company performance based bonus, normally ~15% of salary yearly (before tax). Pretty good company perks package ",
February 2019,UK,Senior Animator,Male,West Midlands,Indie,"£45,000",GBP,,12,Flexible Hours ,
February 2019,UK,Marketing Director,Male,London,AA Developer,"£65,000",GBP,,4,Yearly bonus of £10-20k,
February 2019,UK,Senior Tech Animator,Male,West Midlands,Indie,"£40,000",GBP,,6,flexi time,
February 2019,UK,Unity Developer,Male,Luton,Arcade,"£26,000",GBP,,2.5,,
February 2019,UK,Junior Producer,Female,"Sunderland, UK",Indie,"£20,000",GBP,,"2 years in games, 2.5 years previously in publishing","Pension, flexi-time",I was a QA on £14000 for one year then £16000 for the second year. It was only when moving into the producer role that the significant payrise occurred.
May 2018,UK,Assistant Producer,M,London,Indie/AAA,"£25,570",GBP,,3,"Flexitime, Revenue Share, Free gym, BUPA Health and Dental care, free drinks, weekly pastries",
February 2019,UK,Producer,Male,Scotland,Tools,"£32,000",GBP,,7,"Healthcare, parking, childcare, cycle & tech schemes",
February 2019,UK,Junior Developer,Woman,London,Mobile,"£28,800",GBP,,2.5,,
October 2018,UK,Graphics programmer,Male,Bristol,AA,"£50,000",GBP,280.00,7,,Was a freelance rate
January 2019,UK,Unity Programmer,male,Glasgow,Indie,"£37,000",GBP,300.00,3,,"Freelance, so I probably get more time off than most permies"
February 2019,UK,QA Engineer,,Scotland,Mobile,"£16,000",GBP,,2,,
2014,UK,QA analyst,Female,"Edinburgh, UK",AAA,"£14,000",GBP,,2,Paid overtime,Contracted/non-perm
February 2019,UK,Lead Game Developer,Male,Manchester,Indie,"£24,000",GBP,,6,Pension,
February 2016,UK,3D Artist,Male,London,Mobile,"£32,000",GBP,,2.5,,3 years prior freelance experience.
February 2019,UK,Technical Artist,Male,Midlands,Mobile,"£27,500",GBP,,4,"Pension, Christmas Bonus, Monthly events, No Crunch, Flexi Time","4 years prior as 3D Generalist, first technical art position"
May 2018,UK,3D artist,Male,Midlands,Indie,"£23,500",GBP,,3.5,Pension,Indie company with small budget doing VR
Janurary 2018,UK,Senior Games Programmer,Male,Bristol,,"£40,000",GBP,300.00,6,,
February 2019,UK,Composer,Male,London,,"£30,000",GBP,250.00,5,Rev Share,
January 2019,UK,Principal Programmer,Male,Midlands,AAA,"£50,000",GBP,,5,,
2018,UK,Senior Lead Programmer,Male,Scotland,Mobile,"£39,000",GBP,,7,,
February 2019,UK,Unity Programmer,,London,AA,"£37,000",GBP,,3,,
February 2019,UK,Lead Technical Artist,,Surrey,AAA,"£50,000",GBP,,10,,
September 2017,UK,Animator ,Female,London,Indie,"£18,000",GBP,,2 years,25 days holiday,
February 2019,UK,Programmer,Male,Croydon,Small studio,"£30,000",GBP,,0,,MPhys Physics Graduate
Feb 2019,UK,Producer,Female,Remote,indie,,GBP,150.00,5,Working remote! Set own hours etc,"I know I'm under paid, my aim is to get rate at 250, but it's 150 til this project runs out and has never been more than 150 yet."
September 2018,UK,Lead Programmer,Male,Northwest,,"£41,000",GBP,,8,,
November 2018,UK,Senior QA Tester ,Male ,North East ,Port house AAA/Indie,"£17,500",GBP,,4," Pension, health insurance, bike scheme, monthly lunch, snacks and drinks",
February 2019,UK,Programmer,Male,Huddersfield,Small studio,"£18,000",GBP,,0,None,
February 2019,UK,Principal Programmer,Male,Warwickshire,Mid-size,"£65,000",GBP,,11,"Generous pension, health insurance",
February 2019,UK,Senior Programmer,Male,Cambridge,AAA,"£37,250",GBP,,10,Pension. Small company performance linked annual bonus,
2000,UK,Junior developer,Male,"UK, Midlands",AAA,"£16,000",GBP,,Straight out of Uni,,
2005,UK,Software Developer,Male,"UK, North East",AAA,"£25,000",GBP,,5 years,,
2010,UK,Senior Software Developer,Male,"UK, East Anglia",AAA,"£40,000",GBP,,10 years,,
July 2018,UK,Web & UX Designer,Female,Midlands,,"£42,000",GBP,,6,"Free gym, pensions scheme",
July 2018,UK,Web & UX Designer,Female,Midlands,,"£42,000",GBP,,6,"Free gym, pensions scheme",
February 2019,UK,Programmer,Male,North West,AAA,"£28,000",GBP,,3,"Flexi Time, Pension",
April 2018,UK,Senior animator,Male ,North East,AAA,"£27,000",GBP,,5,,
Feb 2019,UK,Live-Ops Artist,F,London,Social casino games,"£35,600",GBP,,2,"End of year bonus, health/dental insurance, good pension contribution, gym/transportation offers, snacks/drinks/lunches",Master's Degree relevant to the industry
February 2019,UK,Designer,,Birmingham ,Indie,"£28,000",GBP,,7,Yea,
July 2018,UK,Senior Programmer,Male,Middlesbrough,Indie,"£36,000",GBP,,9,,
February 2019,UK,Environment Artist,Male,London ,Animatiin,"£23,500",GBP,,1,"Some, variable",
February 2019,UK,Senior Sound Designer,Male,Cambridge,AA/AAA,"£40,000",GBP,,6,"Royalties, yearly bonus",
Feb 2019,UK,Animator,Female,UK,AAA,"£30,000",GBP,,3,,
February 2019,UK,Unity Programmer / Research and Technical Specialist,Female,Cardiff,"Indie, Mobile","£26,680",GBP,120.00,3,Pension,"Released 1 published game prior in '17, finishing a second, both of which only paid enough to survive the durations of their respective projects.
£120 day rate currently for programming support of a TV studio."
Jan 2019,UK,Audio Director,Male,Midlands,Triple I,"£35,000",GBP,,4,,
February 2019,UK,Game Designer,Male,Nottingham ,AAA,"£28,000",GBP,,3,,
February 2019,UK,Game Designer,Male,Nottingham ,AAA,"£28,000",GBP,,3,,
Summer 2018,UK,Unity Developer (Contract),,South West,"Indie, Mobile","£26,000",GBP,100.00,8,"Flexible Hours, Work from Home, Free Biscuits",
February 2019,UK,QA tester,Male,Glasgow,Outsourcing,"£16,247",GBP,,14,None,
February 2019,UK,Senior Engineer,Male,Cambridge,AAA,"£38,000",GBP,,6,,
February 2019,UK,Animator,Female,Brighton,"AAA, codev","£29,000",GBP,,3,end of project bonus/healthcare/pension/free food and drinks,
January 2018,UK,Lead Designer,Male,North West,AAA,"£44,500",GBP,,19,-,
February 2019,UK,Senior Programmer,Male,South East,VR/AR,"£75,000",GBP,300.00,10,,
2012,UK,Junior Technical Animator,Female,Midlands,AA,"£17,000",GBP,,0,"pension, no crunch",
September 2018,UK,Senior programmer,Male,London,Mobile,"£85,000",GBP,425.00,13,"Contracting, WFH occasionally, flexible hours",
February 2019,UK,Programmer,Male,Sheffield,AAA,"£32,500",GBP,,6,,
February 2019,UK,Creative Director,Male,London,Small/medium studio (~30),"£60,000",GBP,,15,5% pension matching,
February 2019,UK,Event Account Manager,Male,Brighton,,"£24,000",GBP,,2 years,"Pension, Commission, Event Performance Bonus, Free Lunches (on-site), Expenses, Fresh Fruit + Drinks (office), Eye test + voucher, Discounts/Perks dashboard",
February 2019,UK,Junior Project Manager,Female,London,Indie,"£25,000",GBP,,2,"Annual bonus (not guaranteed), Pilates classes",
November 2018,UK,3D Environment Artist,Female,London,,"£40,000",GBP,,5+,"Pension, fruit, travel pass loan, training allowance, travel/event allowance, share options, generous holidays",
March 2019,UK,Producer,Male,London,AAA,"£40,000",GBP,,6.5,"Twice a year. Around £6k. Health Insurance, Dental.",
Dec 2014,UK,QA Lead,Male,London,AAA,"£19,000",GBP,,1.5,x2 bonuses. Healthcare/Dental. ,
March 2017,UK,Localisation Assistant,Male,London,AAA,"£25,254",GBP,,5,x2 Bonuses. Medical/Dental,
February 2019,UK,Junior game designer,Female,London ,Mobile,"£32,000",GBP,,0,"Bonuses, pension scheme, travel discounts, relocation packages ",
February 2019,UK,Junior Game Designer,Non-Binary,London,,"£22,000",GBP,,2.5 (1 in Design),,
February 2019,UK,Concept Artist,Male,Essex,,"£30,000",GBP,,0,"Performance related bonuses, stocks, free snacks, company outings/holidays, dog friendly office, pension",
March 2019,UK,Principal Programmer II,Male,London,AAA,"£72,000",GBP,,16,Dental/Bupa/Gym,
November 2018,UK,VFX Artist,Female,London,AAA,"£30,000",GBP,,4,,
November 2012,UK,Animator,Female,Cambridge,AAA,"£20,000",GBP,,1,,
January 2019,UK,Senior technical artist ,Male,London,AAA ,"£62,000",GBP,,6 years,"Private medical, regular gifts. ",
Feb 19,UK,Senior Monetisation Designer,male,London area,AAA,"£44,000",GBP,,3,"health, dental, pension, revenue share","XP: 3 years as developer, 5 as game designer of which 3 in monetisation"
January 2019,UK,Game Designer,Female,London,AAA,"£27,000",GBP,,1.8,"Bupa, Medicare, Gym membership, company revenue every 3 months",
January 2019,UK,Lead Artist,Female,London,AAA,"£56,000",GBP,,10,,
January 2019,UK,Lead Artist,Female,London,AAA,"£56,000",GBP,,10,,
March 2019,UK,Assistant Narrative Designer,Female,London,AAA,"£21,500",GBP,,5,"general company benefits and bonuses (Bupa Dental and Health insurance, gym memebership, revenue profit share)",my 5 years experience was as QA in the industry before being hired on as Assistant Narrative Designer
November 2018,UK,Senior UI/UX Designer,Female,London,AAA,"£40,000",GBP,,8,"Gym, health care, dental care, pension, rev share",
Jan 2019,UK,Associate Programmer,Female,"Bromley, United Kingdam",AAA,"£30,500",GBP,,3,,
March 2019,UK,Associate Technical Artist,Female,London,AAA,"£27,500",GBP,,0.5,"Private Health Care, Hairdresser, Gzm Membership, Pension Scheme, a lot of Activities etc.",I love my job & I love my company :)
February 2019,UK,Associate Environment Artist,Male,London,AAA,"£23,000",GBP,,0,"Quarterly revenue share, Health and dental care, Gym, Haircuts",
February 2019,UK,Game Designer,Female,London,Indie,"£37,000",GBP,,7,,
March 2019,UK,Programmer,Female,London,,"£60,000",GBP,,5,"Occasional WFH, snacks and drinks",
November 2018,UK,Programmer,,London,AAA,"£42,000",GBP,,4,yes,
March 2019,UK,Marketing Director,Male,London,Indie,"£70,000",GBP,,14,Share options,
April 2018,UK,Game Product Manager,Male,London,Kids,"£50,000",GBP,,10,,
May 2016,UK,Production Assistant,Female,London,Indie,"£25,000",GBP,,2,,2 years' experience was not in games.
September 2017,UK,Assistant Producer,Female,London,Indie,"£28,000",GBP,,3,,First 2 years' not gamedev experience
September 2018,UK,Producer,Female,London,Indie,"£34,000",GBP,,4,"Very flexible working hours and wfh days, small professional development fund and entertainment fund",
March 2019,UK,Junior VFX Artist,Male,London,,"£22,000",GBP,,0,Work from home. Personal and professional guidance service. Childcare vouchers. Travel cost assistance. Cycle to work schemes. Store discounts. ,
July 2018,UK,Junior 2D Artist,Female,London,Indie,"£18,000",GBP,,0,"28 days holiday, no crunch",Small + young team owned by business investor
March 2019,UK,Game Designer / Writer,Nonbinary,Manchester,Indie,"£23,000",GBP,,3,"Entirely remote work, flexible hours",
March 2019,UK,Sound Designer,Male,London,AAA,"£30,000",GBP,,5,,
February 2019,UK,Technical Designer (contractor),male,Manchester,"Indie, Corporate","£8,424",GBP,270.00,3,"Work from home, Be my own boss.",
March 2019,UK,Animator,Female,Yorkshire,"Products across boxed console games, mobile and others","£25,000",GBP,,1,"Pension, 20 days annual holiday plus national holidays",Flexibility to work from home negotiable
April 2018,UK,Sound Engineer / Data Scientist,Male,Leamington Spa,"Mobile, VR/AR","£26,800",GBP,,5,"Pension, Project Bonus",
Every month ,UK,Set dressing - animation ,Man ,Brussels ,Film industry ,£814,GBP,,0 just graduated ,Nothing ,Works 35hours a week 
Feb 2018,UK,Environment Artist ,Female,London ,AAA,"£30,000",GBP,,3y3m,"Pension, medical, dental, some food and drinks/coffee etc",
April 2019,UK,Game Designer,Male,"Cornwall, UK",Academia,"£27,000",GBP,,4,Generous travel allawance,
April 2017,UK,Company Director,Male,Guildford,Indie,"£70,000",GBP,,16,lots,
March 2019,UK,Game Artist,Female,London,Mixed,"£30,000",GBP,,4,None,Freelance
2019,UK,Environment Artist,Male,Edinburgh,AAA,30k,GBP,,7,Yearly bonus that increases (13k now),"I started from uni on a low wage, so other artists with 7 years joining would start around 35k."
June 2018,UK,Lead Programmer,Male,Guildford,Mobile,"£45,000",GBP,,15,"basic people's pension, performance bonus",
August 2017,UK,Lecturer,Male,Edinburgh,Education,"£34,500",GBP,,8,"Very good pension, 50+ days paid leave","This is FE + HE lvl *teaching* but it's a path open to devs. Industry xp is more important than teaching quals. It includes it's own kinds of crunch, but the paid holidays are superb."
August 2017,UK,Assistant Producer,Female,North East,Small Studio,"£19,000",GBP,,2,"Pension, flexible working times, cycle scheme.",Allowed paid time to dedicate to a master's course.
April 2019,UK,Senior Game Designer,Female,South East,Startup,"£41,000",GBP,,5,"Stock options, gym, development budget",I'm also have project/product management responsibilities.
April 2019,UK,Software Engineer in Test,Female,London,Indie,"£26,000",GBP,,2,,
2018,UK,QA Tester,Female,Midlands,AAA,"£20,000",GBP,,7,"Free fruit, private health care, flexi-time, extra holidays",
February 2019,UK,QA,Female,Guildford,Small studio,"£23,000",GBP,,3,,
January 2019,UK,Senior Development Manager,Male,London,AAA,"£60,000",GBP,,21,"Pension, Gym membership, Medical insurance, Dental insurance",
April 2019,UK,Senior Producer,Female,Midlands,AAA,"£53,000",GBP,,6,"Pension, private healthcare & dental, WFH, massages, relocation scheme, paid training, flexible hours, annual bonus, free drinks & fruit",Thanks for putting this info together! :)
April 2019,UK,Programmer,Male,Yorkshire,Indie,"£21,000",GBP,,4,Company dividends,Day rate charged to companies at per dev per day for company
2018,UK,Senior animator,Male,North east ,AAA,"£27,000",GBP,,5,"Pension, bonuses ",
April 2019,UK,Junior Developer,Made,Yorkshire,Small Studio,"£20,000",GBP,,0,,1 year relevant non games XP
February 2019,UK,Technical Artist,Female,South East,AAA,"£31,250",GBP,,2,"Yearly review, bonus, and benefits.",Studio presents itself as progressive and fair with pay.
April 2019,UK,Technical Artist,Male,Leamington Spa,AAA,"£23,000",GBP,,0,,
April 2018,UK,Level Designer,Male,Leamington Spa,AAA,"£25,500",GBP,,4,,
August 2018,UK,Director of Marketing and Sales,Male,Remote,Indie,"£38,748",GBP,,2,None,
Nov 2018,UK,Junior 3D animator,Female,Vietnam,,"£4,000",GBP,,1,"free snacks, company trip in Vietnam","Thunder Cloud studio, work 5 days a week , no health care, competitive environment and heaven for ""anyone who only wants to learn"" ;) Japanese discipline, professional people"
March 2019,UK,Senior QA Technician,Male,London,Indie,"£26,000",GBP,,2,"Private healthcare, office snack, flexible working",
July 2018,UK,D@R Coordinator,F,London,Digital at retail,"£2,650",GBP,,7,"BUPA, dental, pension, bonus",
May 2019,UK,QA Tester,Male,London,AAA,"£25,000",GBP,,2,,
January 2019,UK,Associate Art Director,Female,Brighton,Moblie,"£55,000",GBP,,7,Stock and Bonus - Not Guaranteed,
May 2019,UK,Unity/UI Developer,Female,Remote,Indie,"£30,000",GBP,,4,,
May 2019,UK,VFX Artist,female,South ,AAA,"£33,400",GBP,,3.5,"pension, annual bonus, health care, dental ",
October 2018,UK,Junior Programmer,Male,London,VR,"£21,000",GBP,,1,,
September 2018,UK,Level Designer,Male,Guildford,AA,"£28,000",GBP,,2,"Pension, crunch days = Days in lieu ",
2019,UK,Assistant Producer,Male,London,Indie Publisher,"£29,000",GBP,,Promotion after 8yrs in QA,"Pension, Flexible hours, free snacks/drinks",
June 2019,UK,Production Associate,Female,Edinburgh,,"£32,000",GBP,,5,,
June 2019,UK,Head of Marketing/Community,Male,Midlands,AAA,"£45,000",GBP,,6,Pension / BUPA / Annual performance bonus,
April 2019,UK,Assistant Community Manager,Female,London,Indie ,"£20,000",GBP,,1 year,"Weak pension, Flexi working hours, WFH occasionally","Probation salary @20k, 24k after I pass, 20 days holiday "
March 2019,UK,Gameplay programmer,Male,Brighton,AAA,"£50,000",GBP,,17,"BUPA, childcare vouchers, etc","No, it's not worth it. AAA is horrible. Please let it end"
January 2019,UK,Live Operations Monitoring Engineer,Male,London,Publisher,,GBP,176.00,0,"Yearly bonus, support for personal growth within IT (paid courses, certifications, training etc...), fruit in the mornings.",24/7 shift work.
June 2019,UK,Senior UI Designer,Female,London,Mobile Games,"£46,000",GBP,,10,"Great office culture, budget for courses and training plus extra holidays for that purpose, free breakfast, snacks and drinks including beer and wine, ",
June 2019,UK,Backend Programmer,Male,Leamington Spa,AAA / Mobile,"£35,000",GBP,,3,,
June 2019,UK,Junior Network Programmer,Male,Liverpool,AAA,"£21,000",GBP,,0,,Very anti-crunch!
January 2019,UK,Graphics programmer,Nonbinary,London,,"£42,000",GBP,,4,"Flexitime, No crunch",
June 2019,UK,Junior Developer,Male,Burton-On-Trent,Gambling,"£25,000",GBP,,0,Pension,
December 2018,UK,Junior Graphics Programmer,Male,Wilmslow,AAA,"£27,000",GBP,,4,"Flexi time, 20% discretionary annual bonus","Started with 0 years' experience, expect a new hire w/ 4 years would be paid differently."
June 2019,UK,Junior Programmer,Male,North West,Studio for Hire (All types),"£25,500",GBP,,1,"Yearly bonus, 1 extra holiday day per year worked, no crunch policy (but if you stay late they ain't gonna stop you)","Kitchen with coffee/tea/biscuits/microwave, break room with games consoles, library of coding books"
October 2018,UK,Narrative Designer,Female,North,AAA,"£25,000",GBP,,2,"Varied bonuses, pension",
2014,UK,Publisher ,Female,London,Publisher,"£36,000",GBP,,7,"Bike to work, glasses vouchers, etc",
April 2019,UK,Game Designer,Male,Nottingham,AAA,"£28,000",GBP,,7,"Flexitime, Annual Bonus, Pension, Share Incentive Plan",
April 2019,UK,QA Tester,Male,Yorkshire,AA,"£19,000",GBP,,2,Flexi-Time,
June 2019,UK,Junior developer ,Male,Brighton ,Indie ,"£22,000",GBP,,2,"Beer Fridays, free hot drinks, flexible hours, private health and dental care",
June 2019,UK,Junior Programmer,Female,Guildford,AAA,"£20,000",GBP,,0,,
2015,UK,Junior Game Designer,,Scotland,Indie,"£20,000",GBP,,1,,
2016,UK,Game Designer,,Scotland,Indie,"£24,000",GBP,,2,,
2017,UK,Game Designer,,Scotland,Indie,"£28,000",GBP,,3,,
2018,UK,Senior Games Designer,,Scotland,Indie,"£31,000",GBP,,4,,
2019,UK,Senior Games Designer,,Scotland,Indie,"£34,000",GBP,,5,,
June 2019,UK,Lead Programmer,Male,North East,indie,"£35,000",GBP,,3.5,"Flexi-time, relaxed working environment",
August 2018,UK,Lead AI Programmer,Male,South East,AAA,"£55,000",GBP,,7,"Anual bonus (approx 1 month's salary), 5% pension contribution. Private dental/medical.",No crunch policy.
August 2018,UK,QA Technician ,Female,London ,AA,"£22,000",GBP,,0,"Pension, healthcare, regular studio game jams (catered) , employee assistance program (legal advice, therapy, etc), financial help to attend industry events, paid training, active help to move into desired discipline, unlimited free snacks and drinks, refer a friend bonus, 6mo maternity leave, 3mo paternity leave, childcare assistance, mandatory fun time every week, nobody will try to own your personal projects (unless you want them to)",
January 2019,UK,2d artist,Male,London ,Indie,,GBP,350.00,7,Freelance life,
March 2019,UK,Senior Software Engineer,Male,Dundee,AAA,"£77,625",GBP,,15,"WFH, Health, Dental, Pension Contributions",
April 2019,UK,Junior Programmer,Male,North West,,"£23,500",GBP,,1,"Pension, snacks and drinks, Flexi Time, regular events/parties",
June 2019,UK,Senior Engineer (programmer),Male,Scotland,indie,"£30,000",GBP,,7,,
