Timestamp,Survey,Job Title,Region,City,Gross Salary,Currency,USD Gross Salary,Hourly Rate,Studio Size,Years of XP,Gender,Queer?,Ethnicity,Disabled,Benefits,Additional Comments,Job Category
28/06/2020 06:36:19,GL,"Animator, VFX (mobile)",United States,Los Angeles,"94,000.00",USD,"$94,000",50,51-250,2-5,Female,Yes,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",No,Yes,,Animator
08/07/2020 2:49:11,GL,Animator,Ontario,Toronto,"61,000.00",CAD,"$48,509",,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),No,"Health, dental, 10% RRSP Contribution",,Animator
07/10/2020 9:43:01,GL,Animator,Belgium,,"35,000.00",EUR,"$38,061",,51-250,2-5,Male,No,Prefer to Not Disclose,No,"20 Days off, Near free healthcare. State Pension.",,Animator
07/10/2020 16:04:39,GL,Animator,East Coast,New York,"85,000.00",USD,"$85,000",,51-250,2-5,Male,No,Black (Original Peoples of Africa and the Caribbean),No,"Medical, Vision,Dentak, Paid Time Off,",,Animator
07/01/2021 16:11:25,GL,"Animator, Technical",Canada,Edmonton,"95,000.00",CAD,"$75,547",,251-1000,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),No,"Healthcare, Stocks, Free Games",,Animator
20/01/2021 21:13:41,GL,"Animator, 3D",QC,Québec City,"46,841.00",CAD,"$37,249",22.52,251-1000,2-5,Male,No,"White (Original Peoples of Eastern Europe ), Prefer to Not Disclose",No,"Dental, Travel, medicine insurance; Company give 4% max in RRSP; Overtime banked and paidm 1.5",,Animator
2/16/2019,GL,Animator,East Coast,,"85,000.00",USD,"$85,000",,251-1000,6-10,Female,,White (Original Peoples of Eastern Europe ),,"401k, Health/Dental/Vision/Life, 15+ days PTO, 90 days Maternity, Stock Options, Annual Bonus",,Animator
2/18/2019,GL,"Animator, 3D",Midwest,,"70,000.00",USD,"$70,000",,51-250,6-10,Female,,White (Original Peoples of Eastern Europe ),,"401k 25% match, 80% health insurance premium, life insurance, dental, 10 days PTO, 5 sick days, annual bonus, flexible hours",Privately-held company. Very supportive/ flexible. Virtually nonexistent crunch. Genuinely-healthy environment.,Animator
2/21/2019,GL,Animator,West Coast,Seattle,"105,000.00",USD,"$105,000",,11-50,11-15,Male,,White (Original Peoples of Eastern Europe ),,"401k w/ match, health/dental, vision, unlimited PTO, profit sharing, flex hours",,Animator
23/04/2021 18:26:50,GL,Animator,East Coast,Atlanta,"58,000.00",USD,"$58,000",30,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),No,yes,,Animator
04/05/2021 16:51:42,GL,Animator,canada,toronto,"55,000.00",CAD,"$43,738",,1000+,0-1,female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",No,yes,,Animator
04/05/2021 20:32:18,GL,"Animator, Gameplay",Canada,Toronto,"50,000.00",CAD,"$39,762",,251-1000,0-1,Male,No,White (Original Peoples of Eastern Europe ),No,"Basic health and dental, unlimited sick days, and a flexible work culture, virtually no crunch",(Ubisoft Toronto),Animator
08/06/2020 3:58:06,GL,Art Lead,Canada,Montreal,"73,000.00",CAD,"$58,052",,NA,2-5,Female,No,White (Original Peoples of Eastern Europe ),,Usual basic health benefits.,,Art Director
08/06/2020 17:09:07,GL,Art Director,Italy,Pordenone,"20,000.00",EUR,"$21,749",9.17,1-10,11-15,Male,No,White (Original Peoples of Eastern Europe ),,no,,Art Director
08/06/2020 21:27:04,GL,Art Director,Canada,Montreal,"92,000.00",CAD,"$73,161",,11-50,11-15,Male,,White (Original Peoples of Eastern Europe ),,"Basic insurance (medical, dental, travel, life)",,Art Director
09/06/2020 3:17:32,GL,Art Director,Canada,Montreal,"210,000.00",CAD,"$166,998",,51-250,11-15,Male,No,White (Original Peoples of Eastern Europe ),,"Unlimited vacation time, 100% RRSP match up to 6% of salary, Project Bonuses",,Art Director
13/06/2020 14:30:08,GL,Art Director,"Canada, Ontario",Toronto,"167,000.00",CAD,"$132,803",,251-1000,6-10,Male,No,White (Original Peoples of Eastern Europe ),,Health insurance,,Art Director
13/06/2020 14:31:38,GL,Art Director,"Canada, Quebec",Montreal,"167,000.00",CAD,"$132,803",,251-1000,11-15,Male,No,White (Original Peoples of Eastern Europe ),,Health insurance,,Art Director
13/06/2020 14:38:01,GL,Art Director,Canada BC,Vancouver,"210,000.00",CAD,"$166,998",,51-250,11-15,Male,,White (Original Peoples of Eastern Europe ),,"Health, bonus, RRSP",,Art Director
16/06/2020 15:12:15,GL,Art Director,East Coast,Pittsburgh,"72,000.00",USD,"$72,000",,51-250,11-15,Male,No,White (Original Peoples of Eastern Europe ),,"Medical, Eyes, Teeth, life insurance.",,Art Director
21/07/2020 21:00:39,GL,Art Director,"Canada, Ontario",Toronto,"85,000.00",CAD,"$67,595",,1-10,6-10,Male,No,White (Original Peoples of Eastern Europe ),No,"Health Insurance, 3 weeks vacation","Mobile Studio, Started as Senior 2D Artist",Art Director
06/01/2021 16:56:57,GL,Art Director,Europe,Bordeaux,"40,000.00",EUR,"$43,498",,11-50,6-10,Male,No,White (Original Peoples of Eastern Europe ),No,Healthcare / 25 days PTO / Profit sharing,Started in the studio as a Concept Artist,Art Director
07/01/2021 16:58:28,GL,Art Director,"Canada, Ontario",Toronto,"76,775.00",CAD,"$61,054",salary based,11-50,11-15,Male,No,White (Original Peoples of Eastern Europe ),No,Health and Dental,Though a founding member and core game designer: as an artist was informed I hit a salary ceiling at 2/3rds what our senior programmers make.,Art Director
08/04/2021 6:05:39,GL,"Art Director, UI",CA,San Francisco,"220,000.00",USD,"$220,000",,1000+,16+,Male,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",No,"401k, stock purchasing, usual health and dental and family coverage.",,Art Director
02/03/2019 7:47:33,GL,"Artist, Technical",West Coast,,"122,000.00",USD,"$122,000",,51-250,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"PTO, WFH, Health/Dental/Vision, 401k",,Artist
05/03/2019 14:49:16,GL,"Artist, 3D",Midwest,,"42,000.00",USD,"$42,000",,11-50,2-5,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent), White (Original Peoples of Eastern Europe )",,Health Insurance,"Starting Pay was 32,500",Artist
18/02/2020 20:56:35,GL,"Artist, Technical",Canada,Montreal,"82,000.00",CAD,"$65,209",,51-250,6-10,Male,Yes,"Middle Eastern (Original Peoples of Egypt, Iran, Turkey, and other transcontinental regions)",,"15 Days Vacation, Health, Vision, Dental, Gym & Public Transit Reimbursement",,Artist
19/02/2020 19:44:19,GL,"Artist, Concept",West Coast,Marina del Rey,"60,000.00",USD,"$60,000",,51-250,2-5,Female,Yes,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"401K, Health, Dental, Vision, Life (100% company-paid), Costco food/snacks, crunch dinners, 10 days PTO, winter break, sick days, WFH if needed, occasional bonus","Pay isn't very competitive, but we follow a corporate calendar, so our insurance is great, we get most holidays PTO, long winter break, and lax sick days.",Artist
07/06/2020 20:13:05,GL,"Artist, 3D",West Coast,Seattle,"70,000.00",USD,"$70,000",,11-50,6-10,Male,Yes,White (Original Peoples of Eastern Europe ),,"Health Insurance, Dental",,Artist
07/06/2020 20:20:05,GL,"Artist, Background and Character",North America/ USA,N/A (remote),,USD,,25 USD,11-50,6-10,Female,No,White (Original Peoples of Eastern Europe ),,None,"Thanks for doing this. (Spotty contract work, see hourly answer)",Artist
07/06/2020 20:21:09,GL,"Artist, UI",Canada,Montreal,"60,000.00",CAD,"$47,714",,251-1000,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),,"Health insurance, PTO, personal days, public transportation discount, bonuses, free language classes",,Artist
07/06/2020 20:23:02,GL,"Artist, Lighting",GA,Atlanta,"86,200.00",USD,"$86,200",41,51-250,11-15,Male,No,White (Original Peoples of Eastern Europe ),,Profit share,,Artist
07/06/2020 20:30:37,GL,"Artist, Environment",Southern California,San Diego,"62,400.00",USD,"$62,400",30,51-250,0-1,Male,No,White (Original Peoples of Eastern Europe ),,Elected to reject benefits,,Artist
07/06/2020 20:43:39,GL,"Artist, Technical Freelance",East Coast,NYC,,USD,,25,1-10,0-1,Male,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,N/A,,Artist
07/06/2020 21:10:00,GL,"Artist, 3D Character",Canada,Montreal,"57,000.00",CAD,"$45,328",,251-1000,2-5,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent), White (Original Peoples of Eastern Europe )",,"Health, dental, life insurance, 4 weeks paid vacation + 1 week winter break, sick and personal days, annual bonus, fee free rrsp, flexible hours, training, various discounts",,Artist
07/06/2020 21:54:53,GL,"Artist, VFX",South,Texas,"64,000.00",USD,"$64,000",,251-1000,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"401k, Medical, Dental, Vision, Royalties, Self Improvement Bonus, Comp Time, 15 days PTO",,Artist
07/06/2020 22:32:45,GL,"Artist, 3D",East Coast,Charleston,"79,000.00",USD,"$79,000",,11-50,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"401k w/ match, health/dental, vision, unlimited PTO, flex hours","Starting pay was $45,000",Artist
07/06/2020 23:05:50,GL,"Artist, Lighting",California,San Francisco,"96,000.00",USD,"$96,000",46,251-1000,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),,"Health, 401k with match",,Artist
07/06/2020 23:35:46,GL,"Artist, Visual Effects",British Columbia,Vancouver,"101,046.40",CAD,"$80,355",48.58,51-250,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"5k relocation reimbursement, medical",,Artist
07/06/2020 23:49:06,GL,"Artist, Character Junior",South East,Gainesville,"17,000.00",USD,"$17,000",8,1-10,0-1,Male,No,White (Original Peoples of Eastern Europe ),,None,Expected unpaid overtime,Artist
08/06/2020 0:19:17,GL,"Artist, Cinematic",USA,"Seattle , WA","124,000.00",USD,"$124,000",$60 USD,51-250,11-15,Male,No,White (Original Peoples of Eastern Europe ),,Full time employee - Full Medical/Dental/401k/Profit-Sharing/Annual Bonus.,,Artist
08/06/2020 0:50:21,GL,"Artist, 2D",Ontario,,"58,000.00",CAD,"$46,123",,51-250,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),,"RRSP Matching, Yearly Bonus, Dental+Vision+Pharmaceutical+More Coverage, Personal & Vacation days, free coffee and snacks, stock plan",,Artist
08/06/2020 1:13:07,GL,"Artist, Technical",Canada,,"48,000.00",CAD,"$38,171",,11-50,0-1,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,N/A,,Artist
08/06/2020 3:45:18,GL,"Artist/Integrator, UI",Québec,Montréal,"68,000.00",CAD,"$54,076",,1000+,2-5,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"REER, basic insurance",,Artist
08/06/2020 4:13:55,GL,"Artist, Lead",Canada,Montréal,"85,000.00",CAD,"$67,595",,51-250,11-15,Male,No,White (Original Peoples of Eastern Europe ),,Ok Assurances ans various things,,Artist
08/06/2020 4:21:37,GL,"Artist, 2D",Quebec,Montreal,"50,000.00",CAD,"$39,762",,51-250,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"Collective insurance and REER, 2 weeks vacation, free snacks",,Artist
08/06/2020 4:23:55,GL,"Artist, 3D",West Coast,Vancouver,"52,000.00",CAD,"$41,352",,51-250,2-5,Female,,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,80% Health/Dental,,Artist
08/06/2020 5:15:36,GL,"Artist, Technical",Washington,,"78,000.00",USD,"$78,000",,251-1000,2-5,Male,Yes,White (Original Peoples of Eastern Europe ),,"15 vacation days, public transit",,Artist
08/06/2020 6:54:12,GL,"Artist, Lighting Comp",Canada,Montreal,"60,000.00",CAD,"$47,714",30,51-250,2-5,Female,No,White (Original Peoples of Eastern Europe ),,Insurance,,Artist
08/06/2020 12:29:32,GL,"Artist, 3D Character",Canada,Montreal,"55,000.00",CAD,"$43,738",,11-50,2-5,Male,Yes,Black (Original Peoples of Africa and the Caribbean),,Health Insurance,,Artist
08/06/2020 12:37:20,GL,"Artiste, 3D Généraliste",Québec,Montréal,"65,000.00",CAD,"$51,690",30,51-250,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Assurance Dentaire, REER",,Artist
08/06/2020 13:42:12,GL,"Artist, Technical",Québec,Montréal,"100,000.00",CAD,"$79,523",,NA,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"Yearly bonus, collective insurance",,Artist
08/06/2020 14:22:24,GL,"Artist, Rigging",Quebec,Montreal,"45,000.00",CAD,"$35,785",,51-250,2-5,Male,Yes,"Latinx (Original Peoples of Cuba, Haiti, Mexico, South or Central America, or other Spanish Culture)",,No,,Artist
08/06/2020 14:38:34,GL,"Artist, 3D",Quebec,Montreal,"45,000.00",CAD,"$35,785",,11-50,0-1,Male,No,White (Original Peoples of Eastern Europe ),,"Health, dental, life insurance, REER, 5 semaines vacances, unlimited sick days,",,Artist
08/06/2020 14:44:51,GL,"Artist, Lighting",Canada,Montreal,"41,200.00",CAD,"$32,763",,251-1000,2-5,Male,No,Black (Original Peoples of Africa and the Caribbean),,"Health, Dental, Life Insurance, 2 weeks vacation",,Artist
08/06/2020 14:56:40,GL,"Artist, 3D Character",Canada,Halifax,"63,000.00",CAD,"$50,099",,51-250,6-10,Male,No,"Latinx (Original Peoples of Cuba, Haiti, Mexico, South or Central America, or other Spanish Culture)",,"RRSP, Health/Dental/Vision, 7 flex days, 15 vacation days,",,Artist
08/06/2020 15:04:11,GL,"Artist, 2D+Concept",Canada,Montreal,"62,000.00",CAD,"$49,304",28,251-1000,6-10,Female,No,White (Original Peoples of Eastern Europe ),,"Coffee + Snacks + Breakfast + Monthly Lunch, Gym, Full Inusrance, REER with match, Bonus, 3 weeks vacation + 1week Winter Holiday, 10 Sick days,","Mobile Company, wonderful HR dep, very human",Artist
08/06/2020 15:05:48,GL,"Artist, 3D",Quebec,Montreal,"50,000.00",CAD,"$39,762",,251-1000,2-5,Male,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,RRSP matching (to a maximum),,Artist
08/06/2020 16:22:29,GL,"Artist, Character",USA,LA area,"110,000.00",USD,"$110,000",$35,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Overtime, 401k, health care, stock benefits",,Artist
08/06/2020 16:56:24,GL,"Artist, Lighting",Quebec,Comntreal,"90,000.00",CAD,"$71,571",43+,51-250,16+,Male,No,White (Original Peoples of Eastern Europe ),,"Yearly bonus, 4 weeks vacation + 1 or more at Christmas, 3 days off offer by the company, group insurance",,Artist
08/06/2020 17:02:42,GL,"Artist, Level",Canada,Montreal,"60,000.00",CAD,"$47,714",,51-250,6-10,Female,No,White (Original Peoples of Eastern Europe ),,"Collective Assurance (healt/vision/dental), REER, 3 weeks vacation + 3 days + 2 weeks off in christmas, annual bonus, flexible hours, reimboursed sport activities up to an amount depending your seniority, free coffee/snacks, unlimited sick days",,Artist
08/06/2020 19:29:34,GL,"Artist, 3D Environment Lead/Senior",West Coast,Atlanta,"82,000.00",USD,"$82,000",N/A,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"401K Matching, Medical, Dental, Vision, Education, PTO (5 weeks per year)","Previously (at same company) 5 raises/promotions over 5ish years, Associate 35k/42k, Mid 48k/50k, Lead/Senior 60k/82K only two raises had to be directly asked for/negotiated (the first and the most recent)",Artist
08/06/2020 19:34:19,GL,"Artist, Technical / VFX",quebec,Montreal,"95,000.00",CAD,"$75,547",,251-1000,16+,Male,No,White (Original Peoples of Eastern Europe ),,"Social Security, Health insurance, Bonuses",,Artist
08/06/2020 22:00:05,GL,"Artist, 3D",West Coast,Los Angeles,"70,000.00",USD,"$70,000",$35.50,11-50,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),,Health insurance plans are offered but almost all are only half covered. Holidays are unpaid. PTO accumulates at a rate of 5% (~2 hrs for every 40 worked). Was promised an additional retention bonus of 5% of 2020 salary (~$3500) upon project launch.,This is an indie VR studio.,Artist
08/06/2020 22:30:42,GL,"Artist, Lighting Associate",GA,Alpharetta,"48,880.00",USD,"$48,880",23.5,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Health, 401k, Life, Legal. Profit Sharing when applicable.",,Artist
08/06/2020 23:09:15,GL,"Artist, Technical",Québec,Montreal,"75,000.00",CAD,"$59,642",,251-1000,6-10,Female,Yes,White (Original Peoples of Eastern Europe ),,"Health/Dental/Vision, RRSP, flex hours, 4 weeks vacation, 10 sick days, gym",,Artist
08/06/2020 23:23:17,GL,"Artist, Environment",Bay Area,,"85,000.00",USD,"$85,000",,11-50,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),,"401k, health, dental",,Artist
09/06/2020 0:22:00,GL,"Artist, Illustrator",East Coast,,"62,000.00",USD,"$62,000",,11-50,2-5,Female,Yes,White (Original Peoples of Eastern Europe ),,"Health, Dental, Vision, Life Insurance, 401k matching, Unlimited PTO","Hired out of school during portfolio reviews in 2017, starting pay ~$42,000",Artist
09/06/2020 1:45:13,GL,"Artist, Environment",Central US,Austin,"65,000.00",USD,"$65,000",,51-250,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Healthcare, paid time off, 401k matching",,Artist
09/06/2020 4:23:15,GL,"Artist, 3D",Quebec,Montreal,"60,000.00",CAD,"$47,714",,51-250,6-10,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"Dental, 4 weeks vacation, Health Insurance",,Artist
09/06/2020 4:29:52,GL,"Artist, 2D",Midwest,Chicago,"45,000.00",USD,"$45,000",,51-250,2-5,Female,Yes,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"401k match, health, dental, vision, commuter, unofficial wfo",,Artist
09/06/2020 4:38:55,GL,"Artist, 3D",Midwest,Chicago,"57,600.00",USD,"$57,600",,51-250,2-5,Male,No,"Latinx (Original Peoples of Cuba, Haiti, Mexico, South or Central America, or other Spanish Culture)",,"Multiple health insurance plans with 100% company-paid premiums, 401(k) with company-paid match, Dental and Vision insurance, Pre-tax flex spending and commuter accounts, Paid vacation, Sick days and Holidays, Team after-hours events",,Artist
09/06/2020 4:56:31,GL,"Artist, Lighting",QC,Montréal,"45,000.00",CAD,"$35,785",,251-1000,2-5,Male,,Prefer to Not Disclose,,health care and more,,Artist
09/06/2020 5:11:52,GL,"Artist, Technical",North America,Los Angeles,"93,000.00",USD,"$93,000",,51-250,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Full health, part dental, paid travel, remote work on request,",,Artist
09/06/2020 14:51:44,GL,"Artist, 3D",Texas,Dallas,"75,000.00",USD,"$75,000",,11-50,6-10,Male,No,White (Original Peoples of Eastern Europe ),,Health Insurance discounted,,Artist
09/06/2020 16:01:22,GL,"Artist, Environment",East Coast,North Carolina,"57,500.00",USD,"$57,500",,51-250,2-5,Female/Non-Binary,Yes,White (Original Peoples of Eastern Europe ),,"401k, Dental, Vision, Health, etc",,Artist
09/06/2020 16:13:04,GL,Artist,Europe,Poland,"24,300.00",USD,"$24,300",11$,1-10,11-15,Male,No,White (Original Peoples of Eastern Europe ),,no,,Artist
09/06/2020 18:00:14,GL,"Artist, Technical",Canada,Montreal,"98,500.00",CAD,"$78,330",,51-250,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"Stock plan, RRSP, Gym fees, etc.",,Artist
09/06/2020 18:10:54,GL,"Artist, UI",CA,San Jose,"85,000.00",USD,"$85,000",42,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"10k bonus, food provided, gym, 100$ write off, etc.",I asked way under what they gave me ~60k,Artist
09/06/2020 18:14:33,GL,"Artist, UI",CA,San Jose,"105,000.00",USD,"$105,000",52,51-250,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"Dental, Health etc.",,Artist
09/06/2020 18:22:27,GL,"Artist, UI","West Coast, USA",San Jose,"85,000.00",USD,"$85,000",,51-250,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"Health Benefits, small stipend, workout classes, fully stocked kitchen, etc",,Artist
09/06/2020 20:27:51,GL,"Artist, Concept Associate",West Coast,San Francisco,"85,000.00",USD,"$85,000",40,1000+,0-1,Female,No,White (Original Peoples of Eastern Europe ),,"401K, Health|Dental|Vision|Life, 110hr PTO, Stock Options","No Crunch, 40hr week, Healthy Environment, No College Degree",Artist
10/06/2020 0:29:09,GL,"Artist, Environment",Southern California,Irvine,"93,000.00",USD,"$93,000",43,1000+,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"Healthcare, Profitshare",7-12k profitshare yearly,Artist
10/06/2020 2:12:05,GL,"Artist, Visual Development/Concept",California,Carlsbad,"59,000.00",USD,"$59,000",30,251-1000,0-1,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"Partial Medical/Dental, 401k matching, bonuses",,Artist
10/06/2020 5:43:22,GL,"Artist, VFX",West Coast,Los Angeles,"85,000.00",USD,"$85,000",,251-1000,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"401k with partial match, medical dental, PTO, bonuses + royalty bonuses",Never accept an offer without negotiating.,Artist
10/06/2020 10:37:30,GL,"Artist, 3D",Europe,Poland,"42,000.00",PLN,"$9,850",,51-250,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Medical insurance, free games, gym bonuses",,Artist
10/06/2020 10:45:07,GL,"Artist, 3D",Poland,Krakow,"30,000.00",PLN,"$7,036",,11-50,0-1,Male,No,White (Original Peoples of Eastern Europe ),,None,,Artist
10/06/2020 16:20:07,GL,"Artist, 3D",Canada,Montreal,"64,000.00",CAD,"$50,895",,251-1000,6-10,Trans Non-binary,Yes,White (Original Peoples of Eastern Europe ),,"RRSP Match, Health/Dental/Vision, 20 days PTO, French Language Classes, Gym Reimbursement, Public Transport Reimbursement",,Artist
10/06/2020 17:08:24,GL,Artist,Canada,Toronto,"80,000.00",CAD,"$63,618",,11-50,6-10,Female,Yes,White (Original Peoples of Eastern Europe ),,"Complete Benefits, Bonuses, 3 weeks paid vacation",I've never crunched. Studio is diverse. Everyone I work with is lovely,Artist
10/06/2020 20:24:47,GL,"Artist, Lighting",California,Los Angeles,"80,000.00",USD,"$80,000",,11-50,2-5,Male,No,"Latinx (Original Peoples of Cuba, Haiti, Mexico, South or Central America, or other Spanish Culture)",,"100% paid insurance, 'Unlimited' PTO",,Artist
10/06/2020 23:34:30,GL,"Artist, Technical",West Coast,Seattle,"130,000.00",USD,"$130,000",,1000+,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"401k with match, stock, comprehensive health care including vision and dental, flexible hours",,Artist
11/06/2020 2:08:52,GL,"Artist, VFX",Canada - British Columbia,Vancouver,"140,000.00",CAD,"$111,332",,1-10,6-10,Male,No,"Latinx (Original Peoples of Cuba, Haiti, Mexico, South or Central America, or other Spanish Culture)",,None,,Artist
11/06/2020 3:19:58,GL,"Artist, 2D",NY,,"47,000.00",USD,"$47,000",,11-50,6-10,Female,,White (Original Peoples of Eastern Europe ),,"401k, health, dental",,Artist
11/06/2020 5:35:47,GL,"Artist, Technical",Texas,Austin,"72,000.00",USD,"$72,000",,51-250,2-5,Female,No,Black (Original Peoples of Africa and the Caribbean),,"Medical/Dental/Vision, Long-Term/Short-Term Disability, Health Savings Account/Medical Flex Plan, 401k (match), Profit Sharing, 21 PTO days",,Artist
11/06/2020 8:14:11,GL,"Artist, Environment",Poland,Warsaw,"15,600.00",USD,"$15,600",,251-1000,2-5,Male,No,White (Original Peoples of Eastern Europe ),,"Coffe, Gym, Yearly Bonus,Snaks, 20 day paid vacation, Sick Days",,Artist
11/06/2020 9:33:58,GL,"Artist, 3D Character",West Coast USA,San Jose,"80,000.00",USD,"$80,000",,51-250,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"PTO, Health, dental, vision insurance",,Artist
