Timestamp,Survey,What is your monthly salary before tax?,Gross Salary,Currency,Job Title,Title Modifier,Benefits,How many studios have you worked at?,Gender,Are you from Sweden?,Have you ever worked outside of Sweden in the games industry?,Studio Size,Do you currently work in Sweden?,Years of XP,City,What is your employment status?
3/1/2020 18:12:28,SW,"kr45,000.00","kr45,000.00",SEK,Animator,none,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, fancy coffee/drinks provided, friskvård / health compensation",1,Woman,No,No,26-100 employees,Yes,3,,
3/2/2020 17:45:17,SW,"kr45,000.00","kr60,000.00",SEK,Animator,none,"flex hours, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast",3,Man,Yes,No,over 100,Yes,12,Stockholm,Full-time employee / fast anställd
3/2/2020 15:50:31,SW,"kr25,000.00","kr300,000.00",SEK,Animator,none,"flex hours, more than 4 weeks vacation, friskvård / health compensation",1,Man,Yes,No,over 100,Yes,2,Stockholm,Full-time employee / fast anställd
3/4/2020 19:57:32,SW,"kr28,200.00","kr358,686.00",SEK,Animator,none,"6 hour work day (or less than 40 hours a week work), flex hours, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast",2,Man,No,Yes,over 100,Yes,5,Stockholm,Full-time employee / fast anställd
3/1/2020 23:43:56,SW,"kr30,000.00","kr360,000.00",SEK,Animator,none,"flex hours, fancy coffee/drinks provided, friskvård / health compensation",1,Woman,Yes,No,1-25 employees,Yes,6,Stockholm,
3/2/2020 14:42:30,SW,"kr32,000.00","kr384,000.00",SEK,Animator,none,"flex hours, more than 4 weeks vacation, pets/dogs allowed at office, massages provided, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast, education / learning program for devs",2,Man,Yes,No,26-100 employees,Yes,9,Stockholm,Full-time employee / fast anställd
3/3/2020 18:14:00,SW,"kr33,000.00","kr396,000.00",SEK,Animator,none,"flex hours, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast, education / learning program for devs",1,Man,No,Yes,over 100,Yes,5,,Full-time employee / fast anställd
3/2/2020 11:58:58,SW,"kr37,000.00","kr450,000.00",SEK,Animator,none,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, free soda, weekly breakfast, education / learning program for devs",3,Man,Yes,No,over 100,Yes,5,Stockholm,Full-time employee / fast anställd
3/6/2020 17:38:50,SW,"kr56,500.00","kr678,000.00",SEK,Animator,none,"more than 4 weeks vacation, stock programs for employees, massages provided, friskvård / health compensation",7,Prefer not to say,Yes,No,26-100 employees,Yes,20,Stockholm,Full-time employee / fast anställd
8/26/2021 14:57:12,SW,"kr35,000.00","kr455,000.00",SEK,Animator,none,friskvård / health compensation,3,Man,No,Yes,over 100,Yes,4,Malmo,Full-time employee / fast anställd
3/1/2020 18:54:29,SW,"kr38,000.00","kr38,000.00",SEK,Animator,Senior,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast, education / learning program for devs",2,Man,Yes,No,over 100,Yes,7,,
3/3/2020 12:45:31,SW,"kr36,500.00","kr438,000.00",SEK,Animator,Senior,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast, education / learning program for devs, Insurance",3,Woman,Yes,No,over 100,Yes,3,Stockholm ,Full-time employee / fast anställd
3/6/2020 13:55:56,SW,"kr38,000.00","kr456,000.00",SEK,Animator,Senior,,2,Man,Yes,No,26-100 employees,Yes,8,Malmö,Full-time employee / fast anställd
3/1/2020 20:31:25,SW,"kr40,000.00","kr480,000.00",SEK,Animator,Senior,"6 hour work day (or less than 40 hours a week work), flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation, weekly breakfast",2,Man,Yes,No,1-25 employees,Yes,8,,
3/4/2020 8:20:02,SW,"kr41,000.00","kr504,000.00",SEK,Animator,Senior,"flex hours, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast",2,Man,Yes,No,over 100,Yes,20,Stockholm,Full-time employee / fast anställd
3/6/2020 18:02:03,SW,"kr46,100.00","kr553,200.00",SEK,Animator,Senior,"more than 6 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation",5,Man,Yes,Yes,26-100 employees,Yes,18,Stockholm,Full-time employee / fast anställd
3/2/2020 1:40:27,SW,"kr48,000.00","kr576,000.00",SEK,Animator,Senior,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, fancy coffee/drinks provided, friskvård / health compensation",7,Man,Yes,Yes,1-25 employees,Yes,12,Uppsala,
1/19/2022 12:54:46,SW,"kr43,500.00","kr540,000.00",SEK,Animator,Senior,"flex hours, more than 4 weeks vacation, pets/dogs allowed at office, massages provided, fancy coffee/drinks provided, in-house yoga sessions",6,Man,No,Yes,26-100 employees,Yes,9,malmo,Full-time employee / fast anställd
3/3/2020 10:31:35,SW,"kr28,000.00","kr336,000.00",SEK,Art (2D not concept),Associate,"flex hours, working from home, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast, education / learning program for devs",1,Woman,Yes,No,over 100,Yes,3,Stockholm,Full-time employee / fast anställd
3/2/2020 10:27:37,SW,"kr30,000.00","kr280,248.00",SEK,Art (2D not concept),Director of,"flex hours, more than 4 weeks vacation, friskvård / health compensation",4,Man,Yes,No,1-25 employees,Yes,13,Skövde,
3/1/2020 15:53:59,SW,"kr23,000.00","kr276,000.00",SEK,Art (2D not concept),none,"working from home, pets/dogs allowed at office, weekly breakfast",3,Woman,Yes,No,1-25 employees,Yes,2,,
3/2/2020 13:41:38,SW,"kr35,500.00","kr483,000.00",SEK,Art (2D not concept),none,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, free soda, weekly breakfast, Insurance",1,Woman,Yes,No,over 100,Yes,2,Stockholm,Full-time employee / fast anställd
11/26/2020 12:08:55,SW,"kr22,000.00","kr264,000.00",SEK,Art (2D not concept),none,"flex hours, education / learning program for devs",1,Woman,Yes,No,1-25 employees,Yes,1,Stockholm,Full-time employee / fast anställd
3/2/2020 14:55:32,SW,"kr18,900.00","kr1,500.00",SEK,Art (3D props),Associate,,1,Man,Yes,No,1-25 employees,Yes,2,Stockholm,Full-time employee / fast anställd
3/6/2020 23:15:30,SW,"kr34,000.00","kr408,000.00",SEK,Art (3D props),Associate,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, free soda, weekly breakfast, education / learning program for devs, Friday drinks",1,Man,Yes,No,26-100 employees,Yes,1,Stockholm,Full-time employee / fast anställd
3/21/2020 11:20:51,SW,"kr34,500.00","kr345,000.00",SEK,Art (3D props),Director of,"flex hours, working from home, pets/dogs allowed at office, weekly breakfast, Kontorshotell",2,Woman,Yes,No,1-25 employees,Yes,5,Göteborg/Gothenburg,Full-time employee / fast anställd
3/1/2020 15:34:20,SW,"kr40,000.00","kr480,000.00",SEK,Art (3D props),Director of,"stock programs for employees, friskvård / health compensation",7,Man,Yes,Yes,1-25 employees,Yes,13,,
3/1/2020 14:14:52,SW,"kr59,000.00","kr873,000.00",SEK,Art (3D props),Director of,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, free soda, weekly breakfast, education / learning program for devs",2,Man,Yes,No,,,,,
3/3/2020 12:40:30,SW,"kr24,500.00","kr300,000.00",SEK,Art (3D props),Junior,"stock programs for employees, friskvård / health compensation, weekly breakfast",1,Man,Yes,No,over 100,Yes,1,Malmö,Full-time employee / fast anställd
3/21/2020 11:23:38,SW,"kr25,000.00","kr300,000.00",SEK,Art (3D props),Junior,"flex hours, working from home, pets/dogs allowed at office, weekly breakfast",1,Man,Yes,No,1-25 employees,Yes,1.5,Gothenburg,Full-time employee / fast anställd
3/1/2020 14:13:24,SW,"kr26,000.00","kr312,000.00",SEK,Art (3D props),Junior,,1,Woman,Yes,No,,,,,
3/1/2020 14:33:43,SW,"kr26,000.00","kr312,000.00",SEK,Art (3D props),Junior,"flex hours, more than 4 weeks vacation, fancy coffee/drinks provided",1,Woman,Yes,No,,,,,
3/1/2020 16:01:44,SW,"kr29,000.00","kr348,000.00",SEK,Art (3D props),Junior,"more than 6 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast, education / learning program for devs",3,Man,Yes,No,over 100,Yes,5,,
3/19/2020 18:33:23,SW,"kr30,850.00","kr370,200.00",SEK,Art (3D props),Junior,"flex hours, working from home, more than 4 weeks vacation, more than 6 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast",1,Man,Yes,No,over 100,Yes,2,Stockholm,Full-time employee / fast anställd
3/1/2020 21:28:41,SW,"kr31,400.00","kr376,800.00",SEK,Art (3D props),Junior,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, friskvård / health compensation, in-house yoga sessions, weekly breakfast, education / learning program for devs",1,Man,Yes,No,over 100,Yes,2,Stockholm,
3/3/2020 22:37:05,SW,"kr32,000.00","kr400,000.00",SEK,Art (3D props),Junior,"flex hours, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, weekly breakfast, education / learning program for devs",1,Prefer not to say,Yes,No,over 100,Yes,2,Stockholm,Full-time employee / fast anställd
1/4/2022 20:54:54,SW,"kr23,000.00","kr286,000.00",SEK,Art (3D props),Junior,"flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation",2,Woman,Yes,No,1-25 employees,Yes,2,stockholm,Full-time employee / fast anställd
3/3/2020 16:49:40,SW,"kr33,000.00","kr398,000.00",SEK,Art (3D props),Lead,"flex hours, more than 4 weeks vacation, friskvård / health compensation",1,Woman,Yes,No,1-25 employees,Yes,6,Stockholm,Full-time employee / fast anställd
3/3/2020 12:48:32,SW,"kr38,000.00","kr456,000.00",SEK,Art (3D props),Lead,"flex hours, working from home, more than 4 weeks vacation, pets/dogs allowed at office, friskvård / health compensation",2,Man,Yes,No,1-25 employees,Yes,3,MALMÖ,Full-time employee / fast anställd
3/1/2020 14:48:54,SW,"kr40,000.00","kr480,000.00",SEK,Art (3D props),Lead,"flex hours, working from home, more than 4 weeks vacation, weekly breakfast",5,Woman,No,Yes,1-25 employees,Yes,,,
3/1/2020 16:05:15,SW,"kr41,000.00","kr500,000.00",SEK,Art (3D props),Lead,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, free soda, weekly breakfast, education / learning program for devs",2,Man,Yes,No,over 100,Yes,5,,
3/22/2020 10:37:04,SW,"kr41,666.00","kr500,000.00",SEK,Art (3D props),Lead,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, free soda, weekly breakfast, education / learning program for devs",4,Woman,Yes,No,over 100,Yes,7,Stockholm ,Full-time employee / fast anställd
3/6/2020 13:33:39,SW,"kr48,200.00","kr548,800.00",SEK,Art (3D props),Lead,"flex hours, more than 4 weeks vacation, pets/dogs allowed at office, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house yoga sessions, weekly breakfast, education / learning program for devs",6,Man,Yes,Yes,26-100 employees,Yes,13,Malmö,Full-time employee / fast anställd
3/2/2020 22:01:16,SW,"kr35,000.00","kr800,000.00",SEK,Art (3D props),Lead,"flex hours, more than 4 weeks vacation, friskvård / health compensation",1,Man,Yes,Yes,over 100,Yes,10,STOCKHOLM,Full-time employee / fast anställd
12/31/2021 14:01:19,SW,"kr30,000.00","kr360,000.00",SEK,Art (3D props),Lead,"flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation",1,Woman,Yes,No,26-100 employees,Yes,3,Stockholm,Full-time employee / fast anställd
3/1/2020 16:45:10,SW,"kr23,000.00",kr1.00,SEK,Art (3D props),none,more than 4 weeks vacation,1,Man,Yes,No,1-25 employees,Yes,2,,
3/2/2020 9:44:36,SW,"kr24,000.00","kr24,000.00",SEK,Art (3D props),none,"flex hours, more than 4 weeks vacation, friskvård / health compensation, in-house yoga sessions, weekly breakfast, education / learning program for devs",3,Prefer not to say,Yes,No,26-100 employees,Yes,1,Göteborg ,
3/2/2020 7:30:09,SW,"kr26,000.00","kr26,000.00",SEK,Art (3D props),none,"flex hours, friskvård / health compensation",2,Man,Yes,No,1-25 employees,Yes,4,Helsingborg,
3/1/2020 20:50:20,SW,"kr20,000.00","kr240,000.00",SEK,Art (3D props),none,,3,Man,Yes,No,1-25 employees,Yes,4,,
6/23/2020 14:45:23,SW,"kr23,000.00","kr276,000.00",SEK,Art (3D props),none,flex hours,2,Woman,Yes,No,1-25 employees,Yes,2,Stockholm,Contractor / projekt anställd
3/1/2020 22:49:38,SW,"kr25,000.00","kr300,000.00",SEK,Art (3D props),none,"flex hours, working from home, friskvård / health compensation",2,Woman,Yes,No,1-25 employees,Yes,2,Stockholm,
3/2/2020 10:57:16,SW,"kr26,000.00","kr312,000.00",SEK,Art (3D props),none,"flex hours, more than 4 weeks vacation, friskvård / health compensation",2,Enby,Yes,No,26-100 employees,Yes,6,Stockholm,Full-time employee / fast anställd
3/2/2020 21:18:52,SW,"kr27,000.00","kr324,000.00",SEK,Art (3D props),none,"flex hours, more than 4 weeks vacation, friskvård / health compensation, weekly breakfast",2,Woman,Yes,No,over 100,Yes,3,Malmö,Full-time employee / fast anställd
3/2/2020 10:49:04,SW,"kr30,000.00","kr358,564.00",SEK,Art (3D props),none,"6 hour work day (or less than 40 hours a week work), flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation, free soda, weekly breakfast",1,Man,Yes,No,1-25 employees,Yes,2,Stockholm,Full-time employee / fast anställd
3/2/2020 8:15:48,SW,"kr30,000.00","kr360,000.00",SEK,Art (3D props),none,"flex hours, fancy coffee/drinks provided, friskvård / health compensation",1,Man,Yes,No,1-25 employees,Yes,4.5,Stockholm,
3/2/2020 9:15:33,SW,"kr30,500.00","kr370,716.00",SEK,Art (3D props),none,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, free soda, weekly breakfast",1,Man,Yes,No,1-25 employees,Yes,5,Stockholm,
3/1/2020 22:52:01,SW,"kr31,300.00","kr384,366.00",SEK,Art (3D props),none,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast, education / learning program for devs",4,Man,Yes,No,over 100,Yes,11,Stockholm,
3/1/2020 18:52:01,SW,"kr34,000.00","kr393,367.00",SEK,Art (3D props),none,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, massages provided, fancy coffee/drinks provided, friskvård / health compensation, free soda, weekly breakfast, education / learning program for devs",1,Woman,Yes,No,over 100,Yes,2.5,,
3/2/2020 16:04:06,SW,"kr34,500.00","kr414,000.00",SEK,Art (3D props),none,"flex hours, more than 4 weeks vacation, massages provided, friskvård / health compensation, weekly breakfast",1,Man,Yes,No,26-100 employees,Yes,5,Stockholm,Full-time employee / fast anställd
3/2/2020 11:38:00,SW,"kr34,000.00","kr520,000.00",SEK,Art (3D props),none,"more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, free soda, weekly breakfast, education / learning program for devs",3,Woman,Yes,Yes,over 100,Yes,7,Stockholm,Full-time employee / fast anställd
12/31/2021 18:58:00,SW,"kr28,200.00","kr300,000.00",SEK,Art (3D props),none,"flex hours, working from home, massages provided, friskvård / health compensation, weekly breakfast",1,Woman,Yes,No,26-100 employees,Yes,2,Stockholm,Full-time employee / fast anställd
2/15/2022 17:37:58,SW,"kr28,000.00","kr336,000.00",SEK,Art (3D props),none,"flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation",3,Woman,Yes,No,26-100 employees,Yes,3,Stockholm,Full-time employee / fast anställd
3/20/2022 22:39:58,SW,37200,522000,SEK,Art (3D props),none,more than 4 weeks vacation,3,Man,No,Yes,over 100,Yes,6,,Full-time employee / fast anställd
3/1/2020 22:38:37,SW,"kr30,000.00","kr31,029.00",SEK,Art (3D props),Senior,"flex hours, more than 6 weeks vacation, pets/dogs allowed at office, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast",1,Man,Yes,No,26-100 employees,Yes,10,Malmö,
3/2/2020 13:53:38,SW,"kr27,000.00","kr324,000.00",SEK,Art (3D props),Senior,"flex hours, more than 4 weeks vacation, friskvård / health compensation",1,Woman,Yes,No,over 100,Yes,5,Stockholm,Full-time employee / fast anställd
3/2/2020 18:00:40,SW,"kr31,000.00","kr402,000.00",SEK,Art (3D props),Senior,"flex hours, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house yoga sessions, weekly breakfast, education / learning program for devs",4,Man,Yes,No,over 100,Yes,9,Stockholm,Full-time employee / fast anställd
3/1/2020 15:48:28,SW,"kr35,000.00","kr416,330.00",SEK,Art (3D props),Senior,"flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation, weekly breakfast",2,Woman,Yes,No,26-100 employees,Yes,6,,
3/1/2020 17:00:12,SW,"kr35,000.00","kr420,000.00",SEK,Art (3D props),Senior,"flex hours, working from home, more than 4 weeks vacation",3,Man,Yes,Yes,1-25 employees,Yes,10,,
3/2/2020 10:40:57,SW,"kr36,000.00","kr432,000.00",SEK,Art (3D props),Senior,"flex hours, more than 4 weeks vacation, stock programs for employees, fancy coffee/drinks provided, weekly breakfast, education / learning program for devs",3,Man,Yes,Yes,over 100,Yes,10,Malmö,
3/2/2020 12:20:51,SW,"kr40,000.00","kr532,000.00",SEK,Art (3D props),Senior,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, friskvård / health compensation",5,Man,Yes,No,26-100 employees,Yes,15,,Full-time employee / fast anställd
3/1/2020 18:23:03,SW,"kr63,900.00","kr766,800.00",SEK,Art Levels,Director of,"more than 4 weeks vacation, stock programs for employees, free soda, weekly breakfast",3,Man,No,Yes,1-25 employees,No,5,,
3/1/2020 20:10:46,SW,"kr26,500.00","kr26,500.00",SEK,Art Levels,Junior,"working from home, pets/dogs allowed at office, free soda",1,Woman,Yes,No,1-25 employees,Yes,1,,
3/2/2020 16:31:08,SW,"kr23,000.00","kr276,000.00",SEK,Art Levels,Junior,"flex hours, friskvård / health compensation",1,Man,Yes,No,over 100,No,2,Stockholm ,Full-time employee / fast anställd
3/1/2020 17:58:05,SW,"kr25,100.00","kr312,000.00",SEK,Art Levels,Junior,"flex hours, more than 4 weeks vacation, stock programs for employees, friskvård / health compensation, weekly breakfast",1,Woman,Yes,No,over 100,Yes,2,,
12/31/2021 16:49:51,SW,"kr26,000.00","kr312,000.00",SEK,Art Levels,Junior,"working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast, education / learning program for devs",1,Woman,Yes,No,over 100,Yes,1,Stockholm,Full-time employee / fast anställd
3/2/2020 9:59:29,SW,"kr25,000.00","kr300,000.00",SEK,Art Levels,Lead,"pets/dogs allowed at office, fancy coffee/drinks provided",2,Man,Yes,No,1-25 employees,Yes,4,Stockholm,
3/1/2020 19:14:59,SW,"kr26,000.00","kr312,000.00",SEK,Art Levels,Lead,"flex hours, more than 4 weeks vacation",3,Man,Yes,No,1-25 employees,Yes,5,,
3/2/2020 11:39:03,SW,"kr50,000.00","kr615,000.00",SEK,Art Levels,Lead,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, free soda, weekly breakfast",4,Man,Yes,Yes,over 100,Yes,10,Stockholm,Full-time employee / fast anställd
3/3/2020 9:52:38,SW,"kr30,000.00","kr33,900.00",SEK,Art Levels,none,"flex hours, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast, education / learning program for devs",1,Woman,No,No,over 100,Yes,3,stockholm,Full-time employee / fast anställd
3/1/2020 16:47:28,SW,"kr31,250.00","kr35,000.00",SEK,Art Levels,none,"flex hours, more than 4 weeks vacation, stock programs for employees, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, education / learning program for devs",1,Man,Yes,No,over 100,Yes,8,,
3/1/2020 16:53:29,SW,"kr30,500.00","kr270,204.00",SEK,Art Levels,none,"flex hours, friskvård / health compensation",1,Man,Yes,No,1-25 employees,Yes,2,,
3/2/2020 9:42:52,SW,"kr27,300.00","kr327,000.00",SEK,Art Levels,none,"flex hours, working from home, stock programs for employees, in-house mindfulness /meditation sessions, weekly breakfast",2,Prefer not to say,No,Yes,over 100,Yes,5,Malmo,
3/19/2020 7:55:29,SW,"kr28,000.00","kr336,000.00",SEK,Art Levels,none,"flex hours, more than 4 weeks vacation, friskvård / health compensation",1,Man,Yes,No,1-25 employees,Yes,6,Gothenburg ,Full-time employee / fast anställd
3/1/2020 22:37:20,SW,"kr30,000.00","kr360,000.00",SEK,Art Levels,none,"flex hours, friskvård / health compensation",1,Man,Yes,No,1-25 employees,Yes,2,Stockholm,
3/4/2020 23:24:40,SW,"kr30,000.00","kr360,000.00",SEK,Art Levels,none,"flex hours, fancy coffee/drinks provided, friskvård / health compensation",1,Man,No,No,26-100 employees,Yes,5,Stockholm,Full-time employee / fast anställd
6/10/2020 13:25:59,SW,"kr30,800.00","kr369,600.00",SEK,Art Levels,none,"flex hours, working from home, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, education / learning program for devs",2,Man,Yes,Yes,over 100,Yes,6,Stockholm,Full-time employee / fast anställd
3/1/2020 18:29:05,SW,"kr32,000.00","kr384,000.00",SEK,Art Levels,none,"flex hours, massages provided, friskvård / health compensation, weekly breakfast, Plenty of exotic fruit, awesome christmas gifts and fun parties! ",1,Woman,Yes,No,26-100 employees,Yes,2,,
3/5/2020 23:18:40,SW,"kr33,000.00","kr430,000.00",SEK,Art Levels,none,"flex hours, more than 4 weeks vacation, pets/dogs allowed at office, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house yoga sessions, weekly breakfast, education / learning program for devs, exercise activities",2,Man,Yes,No,over 100,Yes,3,Malmö,Full-time employee / fast anställd
3/2/2020 19:56:27,SW,"kr38,000.00","kr466,000.00",SEK,Art Levels,none,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast",1,Man,Yes,No,26-100 employees,Yes,1,Stockholm,Full-time employee / fast anställd
3/1/2020 17:56:40,SW,"kr40,000.00","kr40,500.00",SEK,Art Levels,Senior,"6 hour work day (or less than 40 hours a week work), flex hours, more than 4 weeks vacation, stock programs for employees, friskvård / health compensation, weekly breakfast, No karensavdrag first day of sick leave, 90% sick pay instead of 80% the following days. ",3,Woman,Yes,No,1-25 employees,Yes,9,,
3/2/2020 23:31:26,SW,"kr31,000.00","kr404,000.00",SEK,Art Levels,Senior,"flex hours, working from home, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast",2,Man,Yes,No,over 100,Yes,7,Stockholm,Full-time employee / fast anställd
3/1/2020 14:08:14,SW,"kr35,000.00","kr440,000.00",SEK,Art Levels,Senior,weekly breakfast,3,Man,No,Yes,,,,,
3/2/2020 10:01:56,SW,"kr38,600.00","kr476,000.00",SEK,Art Levels,Senior,"more than 4 weeks vacation, stock programs for employees, friskvård / health compensation, weekly breakfast, education / learning program for devs",1,Prefer not to say,Yes,No,over 100,Yes,9,Malmö,
12/31/2021 14:56:40,SW,"kr38,500.00","kr462,000.00",SEK,Art Levels,Senior,"flex hours, working from home, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, weekly breakfast",3,Woman,Yes,No,26-100 employees,Yes,6,Stockholm ,Full-time employee / fast anställd
12/31/2021 23:34:58,SW,"kr31,000.00","kr350,000.00",SEK,Art Levels,Senior,"6 hour work day (or less than 40 hours a week work), flex hours, working from home, stock programs for employees, friskvård / health compensation",1,Woman,Yes,No,26-100 employees,Yes,5,Stockholm,Full-time employee / fast anställd
